name,dataset,ClaSS,FLOSS,Window,ADWIN,DDM,HDDM,ChangeFinder,NEWMA
mHealth,mHealth_Subject6_Ankle_X-Gyro,1920.4073016622663,147.7510256894096,3756.556915249137,13520.832283742251,21242.002506430967,23911.52623919693,2567.481595928383,14918.493744006893
mHealth,mHealth_Subject6_Ankle_Y-Gyro,1784.4527373521616,144.27544985560138,3648.1384355540854,13213.066596645549,22905.8941513688,22891.566265060235,2557.655454703568,14934.95953810838
mHealth,mHealth_Subject6_Ankle_Z-Gyro,2125.0103924588366,190.49620045701343,3950.68058922245,14816.56989850845,28302.3842374922,27923.733222349387,2670.920677678219,16704.358019440435
mHealth,mHealth_Subject6_Ankle_X-Mag,3001.0623229461753,164.42278870750107,3574.262645320608,13678.469948140313,28837.11351283589,26439.801321784824,2657.6145753304377,16650.208612301656
mHealth,mHealth_Subject6_Ankle_Y-Mag,2155.606618692901,158.20931714097858,3504.062776092511,13920.045643745378,30114.172970647913,27939.96442979222,2637.6504640151743,16660.027831377025
mHealth,mHealth_Subject6_Ankle_Z-Mag,2252.175074530526,191.92835342278786,3712.944057387209,14271.407110665998,25295.32815985422,27695.36389670029,2670.4799400976644,16648.573200992552
mHealth,mHealth_Subject7_Ankle_X-Acc,1850.5192345302037,164.2879298373078,3712.6276815288843,14424.988208341754,29064.913025031816,29402.221497364753,2637.2155906229596,16654.592131941434
mHealth,mHealth_Subject7_Ankle_Y-Acc,2160.192123588745,209.33217030213734,3810.567418886523,14301.58034279034,26399.22928709056,28253.392172227486,2707.440977027894,16644.63773749939
mHealth,mHealth_Subject7_Ankle_Z-Acc,2028.9056715533836,195.58931896053807,3692.890541529791,14441.104426390544,25808.27450064421,28943.34361400988,2696.681050330226,16682.657886918525
mHealth,mHealth_Subject7_Ankle_X-Gyro,1866.8031357365846,218.709051514145,3876.536615067034,14632.906417409282,32673.248438021637,28654.965868023017,2699.79278442092,16728.610010890952
mHealth,mHealth_Subject7_Ankle_Y-Gyro,2218.2502290911793,205.81976058378234,3893.3552781885505,14596.98795694159,27057.791961577354,27897.638885495307,2660.4519809116664,16672.18301289851
mHealth,mHealth_Subject7_Ankle_Z-Gyro,2267.5095988349003,198.6094382187691,3902.1017100530985,14824.673020159786,29730.668078568877,28267.848448086614,2690.4452395072008,16645.44659344931
mHealth,mHealth_Subject7_Ankle_X-Mag,2526.209432076731,178.3191727339766,3530.4218407295643,13157.126504774562,29320.926888145106,26192.114761118253,2625.4571152854137,16402.572464288613
mHealth,mHealth_Subject7_Ankle_Y-Mag,2030.4318780116669,191.9623519980802,3577.9720681478702,13655.481448111721,31699.010707311874,22972.864213759705,2637.7761143916773,16506.51528586298
mHealth,mHealth_Subject7_Ankle_Z-Mag,2215.971322343509,166.0710772380566,3740.1291077761675,12499.863152171134,27730.73186528497,23952.4768537943,2639.416404867197,14864.559917373306
mHealth,mHealth_Subject8_Ankle_X-Acc,2296.6472890783853,191.50408325061463,3732.6912847504136,14395.660398545402,25389.619292820033,27608.713658576988,2691.9309104447602,16605.307600719363
mHealth,mHealth_Subject8_Ankle_Y-Acc,2129.9545790317184,208.36048639533922,3745.160123235679,14441.565643874075,26215.531750900533,25245.20385055251,2590.3981497600153,16695.718378714104
mHealth,mHealth_Subject8_Ankle_Z-Acc,2266.077100465561,176.71294309914273,3571.440051516512,14450.831967675082,27448.655236589424,29384.228853528446,2699.4675897055467,16648.934841787162
mHealth,mHealth_Subject8_Ankle_X-Gyro,1955.0477441756796,228.56879535357737,3844.8361976586325,14881.885193568982,26822.889423579865,22997.102249206568,2701.099499520266,16909.668320498375
mHealth,mHealth_Subject8_Ankle_Y-Gyro,2075.653109618795,201.53469163475037,3725.1156974086693,14729.12063632346,25054.684035268387,26676.27050820328,2705.1505963472514,15647.357055675518
mHealth,mHealth_Subject8_Ankle_Z-Gyro,2239.98000065858,210.57706910986272,3880.3169259210113,13966.487469464544,30553.747719835366,27938.00866671695,2701.114821690928,16724.70371002217
mHealth,mHealth_Subject8_Ankle_X-Mag,2889.973442971751,170.93304406202802,3440.754546364818,13690.280607215615,31231.08491759348,28237.64624156013,2700.4889430808685,16682.014734144774
mHealth,mHealth_Subject8_Ankle_Y-Mag,2688.8559939014303,178.3882897389324,3418.9857720053883,13823.076891176237,22746.473586875665,27497.339525981897,2689.4439406017927,16666.916680417417
mHealth,mHealth_Subject8_Ankle_Z-Mag,2507.6983148345566,174.55606086901602,3649.9819318667123,14287.122644137826,25882.901071594966,27696.34725961378,2570.6540391089243,16637.549789859335
mHealth,mHealth_Subject9_Ankle_X-Acc,2174.317558971892,202.71526577420576,3624.1263813065393,14405.280063065555,26342.061879385037,27944.848903892296,2681.654079581602,16432.760286619017
mHealth,mHealth_Subject9_Ankle_Y-Acc,2359.8248643688016,210.23756710448515,3792.0163893169215,12334.083704030818,26425.950569611,26383.33166936741,2695.8035894349364,16656.000310293995
mHealth,mHealth_Subject9_Ankle_Z-Acc,2224.9120986800394,170.3923776268866,3749.2251412207415,14265.426459596378,26827.32554507402,29281.55604612906,2700.153580371895,14987.02148544007
